id;title;address;content;type;wish;lat;lng;icon;color
1;Förderschule Friedrich-von-Bodelschwingh;Alte Flur 21;Austausch Treppenhaustüren;Verkehrssicherheit;;;;fa-building-o;blue
2;Förderschule Friedrich-von-Bodelschwingh, Standort Alte Flur, Turnhalle;Alte Flur 21;Erneuerung Prallschutzwände;Verkehrssicherheit;;;;fa-building-o;blue
3;Grundschule Bonhoefferstr. Standort Armerner Str.;Amerner Str. 1-3;Umsetzung Brandschutzkonzept;Brandschutz;;;;fa-building-o;blue
4;Grundschule Bonhoefferstr., Standort Armerner Str.;Amerner Str. 1-3;Ertüchtigung Lärmschutz;Verkehrssicherheit;x;;;fa-building-o;blue
5;Grundschule An der Josefkirche;An der Josefkirche 2;Geländererhöhung Treppenhaus;Verkehrssicherheit;;;;fa-building-o;blue
6;Grundschule Bellenweg;Bellenweg 50;Sanierung Flurbereich;Raumsanierung;x;;;fa-building-o;blue
7;Grundschule Bismarckstr.;Bismarckstr. 67;Umsetzung Brandschutzmaßnahmen;Brandschutz;;;;fa-building-o;blue
8;Grundschule Bismarckstr.;Bismarckstr. 67;Erneuerung Bodenbeläge;Verkehrssicherheit;x;;;fa-building-o;blue
9;Grundschule Bismarckstr.;Bismarckstr. 67;Sanierung ehemalige Ganztagsräume;Raumsanierung;x;;;fa-building-o;blue
10;Grundschule Buchenstr.;Buchenstr. 28;Sanierung Sanitäranlagen;Sanitär;x;;;fa-building-o;blue
11;Grundschule Eichendorffstr.;Eichendorffstr. 21;Erneuerung Fenster;Gebäudehülle;;;;fa-building-o;blue
12;Grundschule Eichendorffstr.;Eichendorffstr. 21;Sanierung Flure und Treppenhaus;Raumsanierung;x;;;fa-building-o;blue
13;Grundschule Eichendorffstr.;Eichendorffstr. 21;Dachsanierung;Gebäudehülle;x;;;fa-building-o;blue
14;Gymnasium Fabritianum;Fabritiusstr. 15a;Erneuerung Einrichtung Biologie Hörsaal;Naturwissenschaft;x;;;fa-building-o;blue
15;Gymnasium Fabritianum, Turnhalle;Fabritiusstr. 15a;Erneuerung der Hallendecke inkl. Deckenstrahlheizung;Substanz;;;;fa-building-o;blue
16;Grundschule Freiligrathstr;Freiligrathstr. 47;Fassadensanierung;Gebäudehülle;x;;;fa-building-o;blue
17;Grundschule Freiligrathstr;Freiligrathstr. 47;Montage Sonnenschutzanlage;Gebäudehülle;x;;;fa-building-o;blue
18;Grundschule Freiligrathstr;Freiligrathstr. 47;Dachsanierung;Gebäudehülle;x;;;fa-building-o;blue
19;Grundschule Freiligrathstr;Freiligrathstr. 47;Erneuerung Fenster + Türen;Gebäudehülle;x;;;fa-building-o;blue
20;Grundschule Gießerpfad;Gießerpfad 2-10;Anstrich der Eingangstüren;Gebäudehülle;x;;;fa-building-o;blue
21;Grundschule Gießerpfad;Gießerpfad 2-10;Erneuerung Bodenbeläge;Verkehrssicherheit;x;;;fa-building-o;blue
22;Berufskolleg Vera Beckers;Girmesgath 131;Austausch Leuchten gegen LED;Verkehrssicherheit;;;;fa-building-o;blue
23;Berufskolleg Vera Beckers;Girmesgath 131;BT B, Sanierung Klassenräume;Raumsanierung;x;;;fa-building-o;blue
