id;title;address;content;type;wish;lat;lng;icon;color
1;Förderschule Friedrich-von-Bodelschwingh;Alte Flur 21;Austausch Treppenhaustüren;Verkehrssicherheit;;51.325181;6.600513;fa-graduation-cap;blue
2;Förderschule Friedrich-von-Bodelschwingh, Standort Alte Flur, Turnhalle;Alte Flur 21;Erneuerung Prallschutzwände;Verkehrssicherheit;;51.325181;6.600513;fa-graduation-cap;blue
3;Grundschule Bonhoefferstr. Standort Armerner Str.;Amerner Str. 1-3;Umsetzung Brandschutzkonzept;Brandschutz;;51.376276;6.493546;fa-graduation-cap;blue
4;Grundschule Bonhoefferstr., Standort Armerner Str.;Amerner Str. 1-3;Ertüchtigung Lärmschutz;Verkehrssicherheit;x;51.376276;6.493546;fa-graduation-cap;blue
5;Grundschule An der Josefkirche;An der Josefkirche 2;Geländererhöhung Treppenhaus;Verkehrssicherheit;;51.327285;6.556930;fa-graduation-cap;blue
6;Grundschule Bellenweg;Bellenweg 50;Sanierung Flurbereich;Raumsanierung;x;51.302289;6.505864;fa-graduation-cap;blue
7;Grundschule Bismarckstr.;Bismarckstr. 67;Umsetzung Brandschutzmaßnahmen;Brandschutz;;51.341559;6.573820;fa-graduation-cap;blue
8;Grundschule Bismarckstr.;Bismarckstr. 67;Erneuerung Bodenbeläge;Verkehrssicherheit;x;51.341559;6.573820;fa-graduation-cap;blue
9;Grundschule Bismarckstr.;Bismarckstr. 67;Sanierung ehemalige Ganztagsräume;Raumsanierung;x;51.341559;6.573820;fa-graduation-cap;blue
10;Grundschule Buchenstr.;Buchenstr. 28;Sanierung Sanitäranlagen;Sanitär;x;51.321356;6.560709;fa-graduation-cap;blue
11;Grundschule Eichendorffstr.;Eichendorffstr. 21;Erneuerung Fenster;Gebäudehülle;;51.339411;6.599194;fa-graduation-cap;blue
12;Grundschule Eichendorffstr.;Eichendorffstr. 21;Sanierung Flure und Treppenhaus;Raumsanierung;x;51.339411;6.599194;fa-graduation-cap;blue
13;Grundschule Eichendorffstr.;Eichendorffstr. 21;Dachsanierung;Gebäudehülle;x;51.339411;6.599194;fa-graduation-cap;blue
14;Gymnasium Fabritianum;Fabritiusstr. 15a;Erneuerung Einrichtung Biologie Hörsaal;Naturwissenschaft;x;51.348963;6.642208;fa-graduation-cap;blue
15;Gymnasium Fabritianum, Turnhalle;Fabritiusstr. 15a;Erneuerung der Hallendecke inkl. Deckenstrahlheizung;Substanz;;51.348963;6.642208;fa-graduation-cap;blue
16;Grundschule Freiligrathstr;Freiligrathstr. 47;Fassadensanierung;Gebäudehülle;x;51.333853;6.579489;fa-graduation-cap;blue
17;Grundschule Freiligrathstr;Freiligrathstr. 47;Montage Sonnenschutzanlage;Gebäudehülle;x;51.333853;6.579489;fa-graduation-cap;blue
18;Grundschule Freiligrathstr;Freiligrathstr. 47;Dachsanierung;Gebäudehülle;x;51.333853;6.579489;fa-graduation-cap;blue
19;Grundschule Freiligrathstr;Freiligrathstr. 47;Erneuerung Fenster + Türen;Gebäudehülle;x;51.333853;6.579489;fa-graduation-cap;blue
20;Grundschule Gießerpfad;Gießerpfad 2-10;Anstrich der Eingangstüren;Gebäudehülle;x;51.320374;6.536084;fa-graduation-cap;blue
